Current Settings:
        -testcase error_measurement
        -method symplectic_euler
        -mass 0.1
        -step 0.5
        -stiff 10
        -damp 0.01

velocity change table:
step euler symplectic_euler midpoint backwards_euler analytic
0.50000 -7.24179e+000 -7.24179e+000 -4.11898e+000 3.24313e-001 1.52596e+000
0.25000 -3.62090e+000 -3.62090e+000 -2.84019e+000 3.78459e-001 -4.35239e-001
0.12500 -1.81045e+000 -1.81045e+000 -1.61527e+000 3.91815e-001 -1.20543e+000
0.06250 -9.05224e-001 -9.05224e-001 -8.56430e-001 2.95324e-001 -8.00392e-001
0.03125 -4.52612e-001 -4.52612e-001 -4.40414e-001 1.66503e-001 -4.33200e-001
0.01563 -2.26306e-001 -2.26306e-001 -2.23256e-001 8.37210e-002 -2.22345e-001
0.00781 -1.13153e-001 -1.13153e-001 -1.12391e-001 4.12277e-002 -1.12276e-001
0.00391 -5.65765e-002 -5.65765e-002 -5.63859e-002 2.03576e-002 -5.63716e-002
0.00195 -2.82883e-002 -2.82883e-002 -2.82406e-002 1.01027e-002 -2.82388e-002
0.00098 -1.41441e-002 -1.41441e-002 -1.41322e-002 5.03086e-003 -1.41320e-002
displacement table:
step euler symplectic_euler midpoint backwards_euler analytic
0.50000 -1.17671e-001 -3.73857e+000 -1.92812e+000 4.44855e-002 -8.36119e-002
0.25000 -5.88354e-002 -9.64060e-001 -5.11448e-001 3.57793e-002 -2.73329e-001
0.12500 -2.94177e-002 -2.55724e-001 -1.42571e-001 1.95591e-002 -1.21120e-001
0.06250 -1.47089e-002 -7.12854e-002 -4.29971e-002 3.74891e-003 -4.10940e-002
0.03125 -7.35443e-003 -2.14986e-002 -1.44265e-002 -2.15122e-003 -1.42428e-002
0.01563 -3.67722e-003 -7.21325e-003 -5.44523e-003 -2.36907e-003 -5.42578e-003
0.00781 -1.83861e-003 -2.72262e-003 -2.28061e-003 -1.51652e-003 -2.27840e-003
0.00391 -9.19304e-004 -1.14031e-003 -1.02980e-003 -8.39782e-004 -1.02954e-003
0.00195 -4.59652e-004 -5.14902e-004 -4.87277e-004 -4.39920e-004 -4.87245e-004
0.00098 -2.29826e-004 -2.43639e-004 -2.36732e-004 -2.24913e-004 -2.36728e-004
