Current Settings:
        -testcase error_measurement
        -method symplectic_euler
        -mass 0.1
        -step 0.5
        -stiff 10
        -damp 1

velocity change table:
step euler symplectic_euler midpoint backwards_euler analytic
0.50000 -4.24073e+000 -4.24073e+000 1.11689e+001 4.89722e-001 4.87898e-001
0.25000 -2.12037e+000 -2.12037e+000 1.73203e+000 5.31981e-001 1.61120e-001
0.12500 -1.06018e+000 -1.06018e+000 -9.70837e-002 5.22606e-001 -2.79881e-001
0.06250 -5.30092e-001 -5.30092e-001 -2.89317e-001 4.19709e-001 -3.09417e-001
0.03125 -2.65046e-001 -2.65046e-001 -2.04852e-001 2.73322e-001 -2.07115e-001
0.01563 -1.32523e-001 -1.32523e-001 -1.17474e-001 1.55272e-001 -1.17739e-001
0.00781 -6.62615e-002 -6.62615e-002 -6.24994e-002 8.23758e-002 -6.25312e-002
0.00391 -3.31307e-002 -3.31307e-002 -3.21902e-002 4.23512e-002 -3.21941e-002
0.00195 -1.65654e-002 -1.65654e-002 -1.63302e-002 2.14610e-002 -1.63307e-002
0.00098 -8.28268e-003 -8.28268e-003 -8.22390e-003 1.08010e-002 -8.22396e-003
displacement table:
step euler symplectic_euler midpoint backwards_euler analytic
0.50000 -1.92310e-001 -2.31268e+000 -1.25249e+000 5.25507e-002 -1.29090e-001
0.25000 -9.61552e-002 -6.26247e-001 -3.61201e-001 3.68400e-002 -1.36699e-001
0.12500 -4.80776e-002 -1.80601e-001 -1.14339e-001 1.72482e-002 -7.96728e-002
0.06250 -2.40388e-002 -5.71695e-002 -4.06042e-002 2.19300e-003 -3.58901e-002
0.03125 -1.20194e-002 -2.03021e-002 -1.61607e-002 -3.47808e-003 -1.55510e-002
0.01563 -6.00970e-003 -8.08037e-003 -7.04504e-003 -3.58359e-003 -6.96768e-003
0.00781 -3.00485e-003 -3.52252e-003 -3.26369e-003 -2.36129e-003 -3.25395e-003
0.00391 -1.50243e-003 -1.63184e-003 -1.56713e-003 -1.33699e-003 -1.56591e-003
0.00195 -7.51213e-004 -7.83567e-004 -7.67390e-004 -7.09297e-004 -7.67237e-004
0.00098 -3.75606e-004 -3.83695e-004 -3.79651e-004 -3.65059e-004 -3.79632e-004
