Current Settings:
        -testcase stability_measurement
        -method symplectic_euler
        -mass 0.1
        -step 0.0001
        -stiff 10
        -damp 0.0
        
step euler symplectic_euler midpoint backwards_euler analytic
0.0001 2.20103 2.19613 2.19613 2 1.99989
0.0002 2.2176 2.19613 2.19613 2 1.99978
0.0004 2.31587 2.19613 2.19613 2 1.99956
0.0008 4.45449 2.19613 2.19614 1.99999 1.99912
0.0016 35242.1 2.19614 2.19621 1.99997 1.99826
0.0032 1.6244e+021 2.19614 2.19742 1.9999 1.99654
0.0064 5.44011e+087 2.19618 2.21899 1.9996 1.99318
0.0128 1.0e+087 2.19633 4.90507 1.99842 1.98679
0.0256 1.0e+087 2.19695 1.94734e+022 1.99397 1.97539
0.0512 1.0e+087 2.19951 1.72611e+306 1.97963 1.95878
