Current Settings:
        -testcase stability_measurement
        -method symplectic_euler
        -mass 0.1
        -step 0.0001
        -stiff 10
        -damp 1.9

Max amplitude table:
step euler symplectic_euler midpoint backwards_euler analytic
0.0001 2.09807 2.09807 2.09807 2 1.99989
0.0002 2.09807 2.09807 2.09807 2 1.99978
0.0004 2.09807 2.09807 2.09807 2 1.99956
0.0008 2.09807 2.09807 2.09807 1.99999 1.99913
0.0016 2.09807 2.09807 2.09807 1.99998 1.99828
0.0032 2.09807 2.09807 2.09807 1.99991 1.99664
0.0064 2.09808 2.09807 2.09807 1.99964 1.99358
0.0128 2.09808 2.09807 2.09807 1.99872 1.9883
0.0256 2.09809 2.09807 2.09807 1.99586 1.98072
0.0512 2.09823 2.09807 2.09807 1.9885 1.97492
