Current Settings:
        -testcase stability_measurement
        -method symplectic_euler
        -mass 0.1
        -step 0.0001
        -stiff 10
        -damp 0.01

Max amplitude table:
step euler symplectic_euler midpoint backwards_euler analytic
0.0001 2.19476 2.1946 2.1946 2 1.99989
0.0002 2.19491 2.1946 2.1946 2 1.99978
0.0004 2.19521 2.1946 2.1946 2 1.99956
0.0008 2.19583 2.1946 2.1946 1.99999 1.99912
0.0016 13.9795 2.19461 2.1946 1.99997 1.99826
0.0032 1.85112e+014 2.19461 2.1946 1.9999 1.99654
0.0064 8.07663e+073 2.19462 2.19461 1.9996 1.99318
0.0128 1.0e+087 2.1948 2.19449 1.99842 1.98679
0.0256 1.0e+087 2.19518 2.19513 1.99398 1.97542
0.0512 1.0e+087 2.19536 1.50432e+245 1.97971 1.95889
