Current Settings:
        -testcase error_measurement
        -method symplectic_euler
        -mass 0.1
        -step 0.5
        -stiff 10
        -damp 0

velocity change table:
step euler symplectic_euler midpoint backwards_euler analytic
0.50000 -7.26922e+000 -7.26922e+000 -4.37035e+000 3.20581e-001 1.56025e+000
0.25000 -3.63461e+000 -3.63461e+000 -2.90989e+000 3.74914e-001 -4.52383e-001
0.12500 -1.81730e+000 -1.81730e+000 -1.63613e+000 3.88958e-001 -1.22089e+000
0.06250 -9.08652e-001 -9.08652e-001 -8.63357e-001 2.93222e-001 -8.06800e-001
0.03125 -4.54326e-001 -4.54326e-001 -4.43002e-001 1.65110e-001 -4.35736e-001
0.01563 -2.27163e-001 -2.27163e-001 -2.24332e-001 8.29304e-002 -2.23415e-001
0.00781 -1.13582e-001 -1.13582e-001 -1.12874e-001 4.08130e-002 -1.12759e-001
0.00391 -5.67908e-002 -5.67908e-002 -5.66138e-002 2.01464e-002 -5.65994e-002
0.00195 -2.83954e-002 -2.83954e-002 -2.83511e-002 9.99630e-003 -2.83493e-002
0.00098 -1.41977e-002 -1.41977e-002 -1.41866e-002 4.97747e-003 -1.41864e-002
displacement table:
step euler symplectic_euler midpoint backwards_euler analytic
0.50000 -1.15955e-001 -3.75056e+000 -1.93326e+000 4.43360e-002 -8.19060e-002
0.25000 -5.79773e-002 -9.66630e-001 -5.12303e-001 3.57511e-002 -2.75737e-001
0.12500 -2.89887e-002 -2.56152e-001 -1.42570e-001 1.96310e-002 -1.21549e-001
0.06250 -1.44943e-002 -7.12851e-002 -4.28897e-002 3.83207e-003 -4.10520e-002
0.03125 -7.24717e-003 -2.14449e-002 -1.43460e-002 -2.08749e-003 -1.41710e-002
0.01563 -3.62358e-003 -7.17301e-003 -5.39829e-003 -2.32780e-003 -5.37996e-003
0.00781 -1.81179e-003 -2.69915e-003 -2.25547e-003 -1.49294e-003 -2.25340e-003
0.00391 -9.05896e-004 -1.12773e-003 -1.01682e-003 -8.27199e-004 -1.01657e-003
0.00195 -4.52948e-004 -5.08408e-004 -4.80678e-004 -4.33424e-004 -4.80648e-004
0.00098 -2.26474e-004 -2.40339e-004 -2.33406e-004 -2.21613e-004 -2.33403e-004
