step euler symplectic_euler midpoint backwards_euler analytic
0.50000 -7.24179e+000 -7.24179e+000 -4.11898e+000 3.24313e-001 1.52596e+000
0.25000 -3.62090e+000 -3.62090e+000 -2.84019e+000 3.78459e-001 -4.35239e-001
0.12500 -1.81045e+000 -1.81045e+000 -1.61527e+000 3.91815e-001 -1.20543e+000
0.06250 -9.05224e-001 -9.05224e-001 -8.56430e-001 2.95324e-001 -8.00392e-001
0.03125 -4.52612e-001 -4.52612e-001 -4.40414e-001 1.66503e-001 -4.33200e-001
0.01563 -2.26306e-001 -2.26306e-001 -2.23256e-001 8.37210e-002 -2.22345e-001
0.00781 -1.13153e-001 -1.13153e-001 -1.12391e-001 4.12277e-002 -1.12276e-001
0.00391 -5.65765e-002 -5.65765e-002 -5.63859e-002 2.03576e-002 -5.63716e-002
0.00195 -2.82883e-002 -2.82883e-002 -2.82406e-002 1.01027e-002 -2.82388e-002
0.00098 -1.41441e-002 -1.41441e-002 -1.41322e-002 5.03086e-003 -1.41320e-002
